        Frequency / MHz                Simulation/imaginary
----------------------------------------------------------------------
                      50                      -242.77225
               50.200001                      -241.41564
               50.400002                        -240.074
               50.599998                      -238.74474
               50.799999                      -237.42504
                      51                       -236.1121
               51.200001                      -234.80327
               51.400002                      -233.49615
               51.599998                      -232.18871
               51.799999                       -230.8793
                      52                      -229.56687
               52.200001                       -228.2509
               52.400002                      -226.93144
               52.599998                       -225.6091
               52.799999                      -224.28495
                      53                      -222.96051
               53.200001                       -221.6376
               53.400002                      -220.31823
               53.599998                      -219.00462
               53.799999                      -217.69889
                      54                      -216.40309
               54.200001                      -215.11897
               54.400002                      -213.84805
               54.599998                      -212.59142
               54.799999                      -211.34974
                      55                      -210.12326
               55.200001                      -208.91168
               55.400002                      -207.71434
               55.599998                       -206.5301
               55.799999                      -205.35752
                      56                      -204.19487
               56.200001                      -203.04021
               56.400002                      -201.89156
               56.599998                      -200.74686
               56.799999                      -199.60426
                      57                      -198.46206
               57.200001                      -197.31871
               57.400002                      -196.17329
               57.599998                      -195.02496
               57.799999                      -193.87356
                      58                      -192.71892
               58.200001                      -191.56174
               58.400002                      -190.40272
               58.599998                      -189.24306
               58.799999                        -188.084
                      59                      -186.92718
               59.200001                      -185.77414
               59.400002                      -184.62631
               59.599998                      -183.48529
               59.799999                      -182.35221
                      60                      -181.22823
               60.200001                      -180.11391
               60.400002                       -179.0099
               60.599998                      -177.91613
               60.799999                      -176.83227
                      61                      -175.75794
               61.200001                      -174.69215
               61.400002                      -173.63375
               61.599998                      -172.58137
               61.799999                      -171.53369
                      62                      -170.48898
               62.200001                       -169.4459
               62.400002                      -168.40301
               62.599998                      -167.35908
               62.799999                      -166.31293
                      63                      -165.26397
               63.200001                      -164.21147
               63.400002                      -163.15546
               63.599998                      -162.09584
               63.799999                      -161.03313
                      64                      -159.96801
               64.199997                       -158.9012
               64.400002                      -157.83382
               64.599998                      -156.76693
               64.800003                      -155.70179
                      65                      -154.63943
               65.199997                      -153.58093
               65.400002                      -152.52728
               65.599998                      -151.47915
               65.800003                      -150.43714
                      66                      -149.40141
               66.199997                      -148.37203
               66.400002                      -147.34879
               66.599998                      -146.33125
               66.800003                      -145.31873
                      67                      -144.31046
               67.199997                       -143.3055
               67.400002                      -142.30295
               67.599998                      -141.30176
               67.800003                      -140.30114
                      68                       -139.3003
               68.199997                      -138.29867
               68.400002                      -137.29594
               68.599998                        -136.292
               68.800003                      -135.28706
                      69                      -134.28166
               69.199997                      -133.27656
               69.400002                      -132.27286
               69.599998                      -131.27181
               69.800003                      -130.27494
                      70                      -129.28386
               70.199997                      -128.30033
               70.400002                      -127.32612
               70.599998                      -126.36287
               70.800003                      -125.41226
                      71                      -124.47566
               71.199997                      -123.55432
               71.400002                      -122.64917
               71.599998                      -121.76085
               71.800003                      -120.88964
                      72                      -120.03545
               72.199997                      -119.19782
               72.400002                      -118.37597
               72.599998                      -117.56869
               72.800003                      -116.77452
                      73                      -115.99171
               73.199997                      -115.21825
               73.400002                      -114.45201
               73.599998                      -113.69074
               73.800003                      -112.93219
                      74                       -112.1741
               74.199997                      -111.41437
               74.400002                      -110.65108
               74.599998                      -109.88249
               74.800003                      -109.10713
                      75                      -108.32391
               75.199997                      -107.53195
               75.400002                       -106.7307
               75.599998                      -105.91998
               75.800003                      -105.09982
                      76                      -104.27049
               76.199997                      -103.43248
               76.400002                      -102.58645
               76.599998                      -101.73311
               76.800003                      -100.87322
                      77                      -100.00758
               77.199997                      -99.136867
               77.400002                      -98.261728
               77.599998                      -97.382628
               77.800003                      -96.499983
                      78                      -95.613934
               78.199997                      -94.724522
               78.400002                      -93.831651
               78.599998                      -92.935049
               78.800003                       -92.03433
                      79                      -91.129045
               79.199997                      -90.218664
               79.400002                      -89.302657
               79.599998                       -88.38046
               79.800003                      -87.451641
                      80                      -86.515758
               80.199997                      -85.572541
               80.400002                      -84.621807
               80.599998                      -83.663509
               80.800003                      -82.697743
                      81                      -81.724753
               81.199997                      -80.744897
               81.400002                      -79.758626
               81.599998                      -78.766486
               81.800003                       -77.76908
                      82                      -76.767029
               82.199997                       -75.76094
               82.400002                      -74.751366
               82.599998                      -73.738795
               82.800003                       -72.72364
                      83                      -71.706131
               83.199997                      -70.686409
               83.400002                       -69.66442
               83.599998                      -68.639966
               83.800003                      -67.612706
                      84                      -66.582091
               84.199997                      -65.547475
               84.400002                      -64.508116
               84.599998                      -63.463121
               84.800003                      -62.411602
                      85                      -61.352561
               85.199997                      -60.285063
               85.400002                      -59.208207
               85.599998                      -58.121095
               85.800003                      -57.022986
                      86                       -55.91323
               86.199997                       -54.79125
               86.400002                      -53.656667
               86.599998                      -52.509214
               86.800003                      -51.348728
                      87                       -50.17516
               87.199997                      -48.988596
               87.400002                      -47.789157
               87.599998                      -46.577024
               87.800003                      -45.352362
                      88                      -44.115359
               88.199997                      -42.866131
               88.400002                       -41.60471
               88.599998                      -40.331026
               88.800003                      -39.044869
                      89                      -37.745877
               89.199997                      -36.433495
               89.400002                         -35.107
               89.599998                      -33.765525
               89.800003                      -32.407964
                      90                      -31.033068
               90.199997                       -29.63943
               90.400002                      -28.225523
               90.599998                      -26.789671
               90.800003                      -25.330214
                      91                      -23.845369
               91.199997                      -22.333417
               91.400002                      -20.792628
               91.599998                      -19.221369
               91.800003                      -17.618169
                      92                      -15.981593
               92.199997                      -14.310475
               92.400002                       -12.60384
               92.599998                      -10.860885
               92.800003                      -9.0811116
                      93                      -7.2643293
               93.199997                      -5.4105843
               93.400002                      -3.5203685
               93.599998                      -1.5944473
               93.800003                      0.36591434
                      94                        2.358957
               94.199997                       4.3823927
               94.400002                       6.4333273
               94.599998                       8.5079835
               94.800003                        10.60179
                      95                       12.709135
               95.199997                       14.823098
               95.400002                       16.935351
               95.599998                       19.035873
               95.800003                       21.112737
                      96                        23.15171
               96.199997                       25.136018
               96.400002                       27.046144
               96.599998                        28.85954
               96.800003                       30.550375
                      97                       32.089659
               97.199997                       33.445376
               97.400002                       34.582894
               97.599998                       35.465799
               97.800003                       36.057236
                      98                       36.321452
               98.199997                       36.226254
               98.400002                       35.745482
               98.599998                       34.862007
               98.800003                        33.57063
                      99                       31.880445
               99.199997                        29.81658
               99.400002                       27.420543
               99.599998                       24.749042
               99.800003                         21.8713
                     100                       18.865056
                   100.2                        15.81164
                   100.4                       12.790826
                   100.6                       9.8761508
                   100.8                       7.1311623
                     101                       4.6069846
                   101.2                       2.3412266
                   101.4                      0.35816112
                   101.6                      -1.3301577
                   101.8                      -2.7221235
                     102                      -3.8245212
                   102.2                      -4.6504262
                   102.4                      -5.2172212
                   102.6                      -5.5449109
                   102.8                      -5.6547596
                     103                      -5.5681357
                   103.2                      -5.3058228
                   103.4                      -4.8873783
                   103.6                      -4.3308804
                   103.8                      -3.6526635
                     104                      -2.8672896
                   104.2                      -1.9875596
                   104.4                      -1.0246249
                   104.6                     0.011989957
                   104.8                       1.1141293
                     105                        2.274912
                   105.2                        3.488611
                   105.4                       4.7504069
                   105.6                       6.0563137
                   105.8                       7.4029979
                     106                       8.7876879
                   106.2                       10.207982
                   106.4                       11.661834
                   106.6                       13.147449
                   106.8                        14.66316
                     107                       16.207394
                   107.2                       17.778662
                   107.4                       19.375466
                   107.6                       20.996301
                   107.8                       22.639705
                     108                       24.304151
                   108.2                       25.988084
                   108.4                       27.690016
                   108.6                       29.408478
                   108.8                       31.141972
                     109                       32.889166
                   109.2                        34.64879
                   109.4                       36.419668
                   109.6                       38.200852
                   109.8                       39.991494
                     110                       41.790976
                   110.2                       43.598923
                   110.4                       45.415088
                   110.6                       47.239488
                   110.8                       49.072298
                     111                       50.913892
                   111.2                       52.764757
                   111.4                       54.625497
                   111.6                       56.496693
                   111.8                       58.378963
                     112                       60.272771
                   112.2                       62.178446
                   112.4                        64.09602
                   112.6                       66.025152
                   112.8                       67.965106
                     113                       69.914557
                   113.2                       71.871494
                   113.4                       73.833241
