        Frequency / MHz                Simulation/real
----------------------------------------------------------------------
                      50                      0.69257033
               50.200001                      0.72865335
               50.400002                      0.75449216
               50.599998                      0.76907646
               50.799999                      0.77186863
                      51                      0.76299168
               51.200001                      0.74318788
               51.400002                      0.71370186
               51.599998                      0.67620799
               51.799999                      0.63283759
                      52                      0.58589132
               52.200001                      0.53787527
               52.400002                      0.49122729
               52.599998                      0.44828932
               52.799999                      0.41117657
                      53                      0.38159365
               53.200001                       0.3608936
               53.400002                      0.34992373
               53.599998                      0.34900692
               53.799999                      0.35796714
                      54                      0.37619102
               54.200001                      0.40253372
               54.400002                      0.43553445
               54.599998                      0.47341055
               54.799999                      0.51421627
                      55                      0.55585985
               55.200001                      0.59631402
               55.400002                      0.63361522
               55.599998                       0.6660202
               55.799999                      0.69208417
                      56                      0.71066474
               56.200001                      0.72109454
               56.400002                      0.72310601
               56.599998                      0.71684845
               56.799999                       0.7029106
                      57                      0.68225632
               57.200001                      0.65617988
               57.400002                      0.62624652
               57.599998                      0.59415109
               57.799999                      0.56172111
                      58                      0.53071231
               58.200001                       0.5027923
               58.400002                      0.47950093
               58.599998                      0.46203225
               58.799999                      0.45132333
                      59                        0.447933
               59.200001                      0.45205293
               59.400002                      0.46356535
               59.599998                      0.48189649
               59.799999                      0.50622253
                      60                      0.53545486
               60.200001                      0.56824497
               60.400002                      0.60319831
               60.599998                      0.63877405
               60.799999                      0.67350686
                      61                      0.70599027
               61.200001                      0.73502573
               61.400002                      0.75957366
               61.599998                      0.77890058
               61.799999                      0.79257219
                      62                      0.80051473
               62.200001                      0.80291208
               62.400002                      0.80030309
               62.599998                      0.79350824
               62.799999                      0.78356267
                      63                      0.77171112
               63.200001                      0.75930582
               63.400002                      0.74772693
               63.599998                      0.73840697
               63.799999                      0.73259306
                      64                       0.7314626
               64.199997                      0.73597997
               64.400002                      0.74686029
               64.599998                      0.76457476
               64.800003                      0.78929963
                      65                      0.82097895
               65.199997                      0.85926068
               65.400002                      0.90360162
               65.599998                      0.95325021
               65.800003                       1.0073602
                      66                        1.064994
               66.199997                       1.1251414
               66.400002                       1.1869284
               66.599998                       1.2495071
               66.800003                       1.3122177
                      67                       1.3745706
               67.199997                       1.4363302
               67.400002                       1.4974917
               67.599998                       1.5583151
               67.800003                       1.6192955
                      68                       1.6811873
               68.199997                       1.7449413
               68.400002                       1.8116311
               68.599998                       1.8824721
               68.800003                        1.958711
                      69                       2.0415708
               69.199997                       2.1322044
               69.400002                       2.2315903
               69.599998                        2.340537
               69.800003                       2.4595782
                      70                       2.5889761
               70.199997                        2.728691
               70.400002                       2.8782792
               70.599998                       3.0370435
               70.800003                       3.2039228
                      71                       3.3775177
               71.199997                       3.5562381
               71.400002                       3.7381814
               71.599998                       3.9213201
               71.800003                       4.1034597
                      72                       4.2823829
               72.199997                       4.4558865
               72.400002                       4.6218203
               72.599998                       4.7781862
               72.800003                       4.9231915
                      73                       5.0553077
               73.199997                       5.1732852
               73.400002                       5.2762509
               73.599998                       5.3636839
               73.800003                       5.4354276
                      74                        5.491699
               74.199997                       5.5330598
               74.400002                       5.5603893
               74.599998                        5.574814
               74.800003                       5.5777164
                      75                       5.5706206
               75.199997                        5.555124
               75.400002                       5.5328485
               75.599998                       5.5054013
               75.800003                       5.4742976
                      76                       5.4408716
               76.199997                        5.406342
               76.400002                       5.3716686
               76.599998                       5.3376096
               76.800003                       5.3046883
                      77                       5.2732304
               77.199997                       5.2433357
               77.400002                       5.2149368
               77.599998                       5.1878455
               77.800003                       5.1617493
                      78                       5.1362841
               78.199997                       5.1110535
               78.400002                       5.0856932
               78.599998                       5.0598928
               78.800003                       5.0334278
                      79                       5.0061736
               79.199997                       4.9781529
               79.400002                       4.9495129
